Timestamp,Metric_Name,Value,Execution_Status
2026-03-27 07:44,Wins_Boston_Bruins,48.31,Success
2026-03-27 07:44,Wins_Buffalo_Sabres,57.5,Success
2026-03-27 07:44,Wins_New_Jersey_Devils,45.0,Success
2026-03-27 07:44,Wins_NY_Islanders,40.1,Success
2026-03-27 07:44,Wins_NY_Rangers,52.0,Success
2026-03-27 11:44,Wins_Boston_Bruins,54.33,Success
2026-03-27 11:44,Wins_Buffalo_Sabres,55.26,Success
2026-03-27 11:44,Wins_New_Jersey_Devils,45.0,Success
2026-03-27 11:44,Wins_NY_Islanders,40.15,Success
2026-03-27 11:44,Wins_NY_Rangers,52.0,Success
2026-03-27 15:44,Wins_Boston_Bruins,47.9,Success
2026-03-27 15:44,Wins_Buffalo_Sabres,51.72,Success
2026-03-27 15:44,Wins_New_Jersey_Devils,45.0,Success
2026-03-27 15:44,Wins_NY_Islanders,40.23,Success
2026-03-27 15:44,Wins_NY_Rangers,52.0,Success
2026-03-27 19:44,Wins_Boston_Bruins,51.42,Success
2026-03-27 19:44,Wins_Buffalo_Sabres,47.76,Success
2026-03-27 19:44,Wins_New_Jersey_Devils,45.0,Success
2026-03-27 19:44,Wins_NY_Islanders,40.34,Success
2026-03-27 19:44,Wins_NY_Rangers,52.0,Success
2026-03-27 23:44,Wins_Boston_Bruins,49.27,Success
2026-03-27 23:44,Wins_Buffalo_Sabres,44.36,Success
2026-03-27 23:44,Wins_New_Jersey_Devils,45.0,Success
2026-03-27 23:44,Wins_NY_Islanders,40.51,Success
2026-03-27 23:44,Wins_NY_Rangers,52.0,Success
2026-03-28 03:44,Wins_Boston_Bruins,47.31,Success
2026-03-28 03:44,Wins_Buffalo_Sabres,42.33,Success
2026-03-28 03:44,Wins_New_Jersey_Devils,45.0,Success
2026-03-28 03:44,Wins_NY_Islanders,40.76,Success
2026-03-28 03:44,Wins_NY_Rangers,52.0,Success
2026-03-28 07:44,Wins_Boston_Bruins,47.15,Success
2026-03-28 07:44,Wins_Buffalo_Sabres,42.18,Success
2026-03-28 07:44,Wins_New_Jersey_Devils,45.0,Success
2026-03-28 07:44,Wins_NY_Islanders,41.14,Success
2026-03-28 07:44,Wins_NY_Rangers,52.0,Success
2026-03-28 11:44,Wins_Boston_Bruins,45.04,Success
2026-03-28 11:44,Wins_Buffalo_Sabres,43.95,Success
2026-03-28 11:44,Wins_New_Jersey_Devils,45.0,Success
2026-03-28 11:44,Wins_NY_Islanders,41.71,Success
2026-03-28 11:44,Wins_NY_Rangers,52.0,Success
2026-03-28 15:44,Wins_Boston_Bruins,47.47,Success
2026-03-28 15:44,Wins_Buffalo_Sabres,47.19,Success
2026-03-28 15:44,Wins_New_Jersey_Devils,60.0,Success
2026-03-28 15:44,Wins_NY_Islanders,42.56,Success
2026-03-28 15:44,Wins_NY_Rangers,52.0,Success
2026-03-28 19:44,Wins_Boston_Bruins,46.66,Success
2026-03-28 19:44,Wins_Buffalo_Sabres,51.13,Success
2026-03-28 19:44,Wins_New_Jersey_Devils,45.0,Success
2026-03-28 19:44,Wins_NY_Islanders,43.84,Success
2026-03-28 19:44,Wins_NY_Rangers,52.0,Success
2026-03-28 23:44,Wins_Boston_Bruins,42.49,Success
2026-03-28 23:44,Wins_Buffalo_Sabres,54.79,Success
2026-03-28 23:44,Wins_New_Jersey_Devils,45.0,Success
2026-03-28 23:44,Wins_NY_Islanders,45.77,Success
2026-03-28 23:44,Wins_NY_Rangers,52.0,Success
2026-03-29 03:44,Wins_Boston_Bruins,43.98,Success
2026-03-29 03:44,Wins_Buffalo_Sabres,57.27,Success
2026-03-29 03:44,Wins_New_Jersey_Devils,45.0,Success
2026-03-29 03:44,Wins_NY_Islanders,48.65,Success
2026-03-29 03:44,Wins_NY_Rangers,52.0,Success
2026-03-29 07:44,Wins_Boston_Bruins,42.06,Success
2026-03-29 07:44,Wins_Buffalo_Sabres,57.98,Success
2026-03-29 07:44,Wins_New_Jersey_Devils,45.0,Success
2026-03-29 07:44,Wins_NY_Islanders,52.97,Success
2026-03-29 07:44,Wins_NY_Rangers,52.0,Success
2026-03-29 11:44,Wins_Boston_Bruins,41.73,Success
2026-03-29 11:44,Wins_Buffalo_Sabres,56.73,Success
2026-03-29 11:44,Wins_New_Jersey_Devils,45.0,Success
2026-03-29 11:44,Wins_NY_Islanders,59.46,Success
2026-03-29 11:44,Wins_NY_Rangers,52.0,Success
2026-03-29 15:44,Wins_Boston_Bruins,41.05,Success
2026-03-29 15:44,Wins_Buffalo_Sabres,53.84,Success
2026-03-29 15:44,Wins_New_Jersey_Devils,45.0,Success
2026-03-29 15:44,Wins_NY_Islanders,69.19,Success
2026-03-29 15:44,Wins_NY_Rangers,52.0,Success
2026-03-29 19:44,Wins_Boston_Bruins,44.0,Success
2026-03-29 19:44,Wins_Buffalo_Sabres,31.0,Success
2026-03-29 19:44,Wins_Calgary_Flames,46.0,Success
2026-03-29 19:44,Wins_Chicago_Blackhawks,49.0,Success
2026-03-29 19:44,Wins_Detroit_Red_Wings,34.0,Success
2026-03-29 19:44,Market_Price_RTX5090,0,Success
